station_name,station_code,station_lat,station_long
Vangaon ,VGN,19.8754628,72.7540473
Kachnara Road ,KCNR,33.7730754,72.7571853
Palghar ,PLG,19.6935581,72.7655184
Abu Road ,ABR,24.4833,72.7833
Kelva Road ,KLV,19.6247486,72.791038
Amarpura ,APA,28.2068653,72.7924612
Gothaj ,GTE,22.7638862,72.7998479
Virar ,VR,19.4667,72.8
Ranoli ,RNO,22.3826508,72.8072342
Vasai Road ,BSR,19.4479031,72.8121339
Nandol Dehegam ,NHM,23.1736336,72.8158206
Sanjan ,SJN,20.1921126,72.8179439
Mumbai Central ,BCT,18.9707147,72.8194213
Surat ,ST,21.195,72.819444
Niwas Road ,NWB,19.0812726,72.833689
Saphale ,SAH,19.6042081,72.8338234
Mumbai Cst ,CSTM,18.9442225,72.8357343
Diyatara Road ,DTRD,27.7334712,72.8400636
Bandra Terminus ,BDTS,19.0635747,72.8404703
Dadar ,DDR,19.0214051,72.8426858
Bhuchchu ,BCU,19.1004561,72.844111
Byculla ,BY,18.974142,72.8441629
Nawagaon ,NVG,19.2529025,72.8441629
Borivali ,BVI,19.2257341,72.8456399
Prantij ,PRJ,23.4365838,72.8485939
Bhayandar ,BYR,19.310472,72.854041
Bhestan ,BHET,21.1302583,72.8545019
Chinchpada ,CPD,19.2292364,72.8596712
Sitalnagar ,STNR,19.283523,72.8660003
Nadiad Junction ,ND,22.7,72.8667
Andheri ,ADH,19.113645,72.8697339
Udvada ,UVD,20.4863158,72.8722249
Sayan ,SYN,21.31683,72.87766
Sachin ,SCH,21.08,72.88
Bhilad ,BLD,20.2768555,72.8810859
Maroli ,MRL,21.0243434,72.8899466
Kurla Junction ,CLA,19.070028,72.891574
Vapi ,VAPI,20.35969,72.8938
Utarsanda ,UTD,22.6576525,72.8958535
Vedchha ,VDH,21.1918554,72.9061903
Osiyan ,OSN,26.726,72.91
Karmad ,KMV,21.7264644,72.9150501
Niyol ,NOL,21.1722436,72.9187415
Hapa ,HAPA,23.5672019,72.9209564
Sonasan ,SNSN,23.486036,72.9231712
Kim ,KIM,21.4029863,72.925386
Swarupganj ,SRPJ,24.6545255,72.925386
Valsad ,BL,20.5992349,72.9342451
Navsari ,NVS,20.945263,72.9342451
Haripur ,HP,34.0006434,72.9371736
Ancheli ,ACL,20.8447344,72.9453184
Narangi ,NNGE,18.7489818,72.9467948
Atul ,ATUL,20.5459484,72.9490094
Goregaon Road ,GNO,19.1934775,72.9516975
Dhanari ,DN,24.7007551,72.9519622
Kolayat ,KLYT,27.8356946,72.9519622
Dungri ,DGI,20.6891176,72.9534385
Kosamba Junction ,KSB,21.4642116,72.9548226
Amalsad ,AML,20.8175942,72.9549149
Vikhran Road ,VKH,19.2066068,72.9571669
Joravasan ,JRS,20.7269675,72.9582193
Pardi ,PAD,20.5230393,72.9593587
Himmatnagar ,HMT,23.6123251,72.9603104
Chalthan ,CHM,21.1585625,72.9608202
Murud ,MRX,18.331926,72.9608202
Hamarapur ,HMRR,19.6974562,72.9637728
Panoli ,PAO,21.5310601,72.9637728
Hathuran ,HAT,21.49834,72.9682017
Bilimora Junction ,BIM,20.7651959,72.9705083
Gautamdhara ,GATD,19.1974138,72.9721922
Shamlaji Road ,SJS,24.0673119,72.9736805
Thane ,TNA,19.2183307,72.9780897
Marwar Mathanya ,MMY,26.5327682,72.9792273
Salawas ,SZ,26.1166667,72.9833333
Palsana ,PLSN,21.0834045,72.9873924
Bharuch Junction ,BH,21.7051358,72.9958748
Chavaj ,CVJ,21.7556943,73.0006774
Luni Junction ,LUNI,26.0029122,73.0026147
Vadod ,VXD,22.5092561,73.0036295
Ankleshwar Junction ,AKV,21.6264236,73.0151984
Bhagat Ki Kothi ,BGKT,26.2582954,73.0167426
Saraswatinagar ,SRWN,26.228718,73.0208166
Adas Road ,ADD,22.819652,73.025665
Patliputra ,PPTA,19.0150168,73.0294358
Kaikoram ,KKRM,33.7257228,73.0321406
Nabipur ,NIU,21.8116854,73.0390519
Diva ,DIVA,19.189301,73.042915
Bhiwandi Road ,BIRD,19.2687576,73.0458775
Gajner ,GJN,27.9499008,73.0464309
Anara ,ANR,22.9068303,73.0508582
Sirohi Road ,SOH,24.7988839,73.0515196
Hanwant ,HWT,26.3072871,73.0519275
Umar Tali ,UTA,33.6093443,73.0688817
Keshavganj ,KVJ,24.8557585,73.0719349
Palej ,PLJ,21.9212464,73.0788957
Nilaje ,NIIJ,19.1665044,73.0807402
Kotapar Road ,KPRR,19.2153614,73.0816727
Nandesari ,NDR,22.41637,73.086838
Taloja Panchand ,TPND,19.0696502,73.0870112
Anjani ,ANO,24.4786529,73.0966019
Pen ,PEN,18.734888,73.0966019
Shaitansinghngr ,STSN,27.3746033,73.0980773
Kosad ,KSE,21.4722222,73.1
Navade Road ,NVRD,19.0529842,73.1033797
Kalamboli ,KLMC,19.0318314,73.1054544
Lakodara ,LKD,21.996224,73.1054544
Roha ,ROHA,18.4320316,73.1143067
Bardoli ,BIY,21.1167,73.1167
Miyagam Karjan ,MYG,22.055216,73.1172573
Panvel ,PNVL,18.9894007,73.1175162
Mori Bera ,MOI,25.0338542,73.1334853
Nagothane ,NGTN,18.5446161,73.1364357
Rohat ,RT,25.9567516,73.139836
Ulhasnagar ,ULNR,19.2167,73.15
Banar ,BNO,26.3430678,73.1526623
Apta ,APTA,18.86381,73.152947
Bajva ,BJW,22.3393703,73.1556125
Itola ,ITA,22.154559,73.1556125
Vishvamitri ,VS,22.2879854,73.1747877
Jawai Bandh ,JWB,25.0718873,73.1762626
Rasayani ,RSYI,18.9003757,73.1762626
Badodar ,BDDR,22.3071588,73.1812187
Vadodara Junction ,BRC,22.3071588,73.1812187
Biroliya ,BRLY,25.165256,73.1880618
Makarpura ,MPR,22.2475172,73.1880618
Jajiwal ,JWL,26.367721,73.1910115
Ambarnath ,ABH,19.1825167,73.1926023
Shri Bhavnath ,SBHN,23.7372421,73.1986347
Kolad ,KOL,18.4077066,73.2101837
Bhimana ,BMN,24.8347311,73.2133174
Gangani ,GNNA,26.5022202,73.2146078
Badlapur ,BUD,19.1667854,73.2367896
Ambasa ,ABSA,24.0715635,73.2411506
Falna ,FA,25.244782,73.245992
Wadhwan City ,WC,18.3139413,73.2472329
Karambeli ,KEB,18.7202492,73.2499975
Matheran ,MAE,18.9886587,73.271179
Khimel ,KZQ,25.3119032,73.2750618
Timbarva ,TBV,22.017375,73.2794846
